customer_id,first_name,last_name,address,email,phone_number
1,Megan,Delgado,"123 Main St, Springfield, IL",megan.delgado@customer.com,555-190-3233
2,Joshua,Jordan,"123 Main St, Springfield, IL",joshua.jordan@customer.com,555-525-8357
3,Kayla,Hansen,"123 Main St, Springfield, IL",kayla.hansen@customer.com,555-933-4447
4,Joseph,Pace,"123 Main St, Springfield, IL",joseph.pace@customer.com,555-897-0326
5,Mackenzie,Rodriguez,"123 Main St, Springfield, IL",mackenzie.rodriguez@customer.com,555-762-5836
6,Sabrina,Ferguson,"123 Main St, Springfield, IL",sabrina.ferguson@customer.com,555-582-5709
7,Brendan,Carr,"123 Main St, Springfield, IL",brendan.carr@customer.com,555-195-1985
8,Gregory,Pham,"123 Main St, Springfield, IL",gregory.pham@customer.com,555-416-2205
9,Elizabeth,Walker,"123 Main St, Springfield, IL",elizabeth.walker@customer.com,555-880-8679
10,James,Smith,"123 Main St, Springfield, IL",james.smith@customer.com,555-283-4564
11,Rebecca,Snyder,"123 Main St, Springfield, IL",rebecca.snyder@customer.com,555-279-8494
12,Timothy,Robertson,"123 Main St, Springfield, IL",timothy.robertson@customer.com,555-284-2248
13,Michelle,Porter,"123 Main St, Springfield, IL",michelle.porter@customer.com,555-224-3907
14,Robert,Sanchez,"123 Main St, Springfield, IL",robert.sanchez@customer.com,555-651-0888
15,Dustin,Gibson,"123 Main St, Springfield, IL",dustin.gibson@customer.com,555-928-1269
16,Kurt,Wong,"123 Main St, Springfield, IL",kurt.wong@customer.com,555-764-7525
17,Kimberly,Day,"123 Main St, Springfield, IL",kimberly.day@customer.com,555-432-3796
18,Scott,Blair,"123 Main St, Springfield, IL",scott.blair@customer.com,555-585-8964
19,Erik,Nelson,"123 Main St, Springfield, IL",erik.nelson@customer.com,555-981-0349
20,Carlos,Salazar,"123 Main St, Springfield, IL",carlos.salazar@customer.com,555-648-6689
21,Megan,Williams,"123 Main St, Springfield, IL",megan.williams@customer.com,555-298-7370
22,Matthew,Taylor,"123 Main St, Springfield, IL",matthew.taylor@customer.com,555-777-8852
23,John,Alvarado,"123 Main St, Springfield, IL",john.alvarado@customer.com,555-453-6709
24,Kathleen,Wolf,"123 Main St, Springfield, IL",kathleen.wolf@customer.com,555-366-5637
25,Jeff,Crosby,"123 Main St, Springfield, IL",jeff.crosby@customer.com,555-181-1932
26,Anthony,Rogers,"123 Main St, Springfield, IL",anthony.rogers@customer.com,555-019-0071
27,Brandon,Day,"123 Main St, Springfield, IL",brandon.day@customer.com,555-137-9377
28,Alexander,Meyer,"123 Main St, Springfield, IL",alexander.meyer@customer.com,555-069-0197
29,Joshua,Cole,"123 Main St, Springfield, IL",joshua.cole@customer.com,555-887-3481
30,Cynthia,Newton,"123 Main St, Springfield, IL",cynthia.newton@customer.com,555-563-7565
31,Tracy,Kelly,"123 Main St, Springfield, IL",tracy.kelly@customer.com,555-033-4018
32,Cody,Jackson,"123 Main St, Springfield, IL",cody.jackson@customer.com,555-244-5569
33,Harold,Harris,"123 Main St, Springfield, IL",harold.harris@customer.com,555-666-4228
34,Michael,Chase,"123 Main St, Springfield, IL",michael.chase@customer.com,555-779-8995
35,Jennifer,Chapman,"123 Main St, Springfield, IL",jennifer.chapman@customer.com,555-150-0658
36,William,Shepard,"123 Main St, Springfield, IL",william.shepard@customer.com,555-589-6120
37,Gregory,Murray,"123 Main St, Springfield, IL",gregory.murray@customer.com,555-318-4273
38,Heidi,Ho,"123 Main St, Springfield, IL",heidi.ho@customer.com,555-479-9998
39,Michael,Moss,"123 Main St, Springfield, IL",michael.moss@customer.com,555-535-1841
40,Andre,Graham,"123 Main St, Springfield, IL",andre.graham@customer.com,555-386-3801
41,Robin,Green,"123 Main St, Springfield, IL",robin.green@customer.com,555-334-9898
42,Jacob,Johnson,"123 Main St, Springfield, IL",jacob.johnson@customer.com,555-923-9373
43,David,Evans,"123 Main St, Springfield, IL",david.evans@customer.com,555-963-8196
44,James,Taylor,"123 Main St, Springfield, IL",james.taylor@customer.com,555-967-4371
45,Christopher,Hill,"123 Main St, Springfield, IL",christopher.hill@customer.com,555-004-8102
46,Jennifer,White,"123 Main St, Springfield, IL",jennifer.white@customer.com,555-596-0484
47,Christine,Nelson,"123 Main St, Springfield, IL",christine.nelson@customer.com,555-934-7865
48,Jessica,Williams,"123 Main St, Springfield, IL",jessica.williams@customer.com,555-612-2827
49,Tara,Harrison,"123 Main St, Springfield, IL",tara.harrison@customer.com,555-400-4816
50,Adam,Reyes,"123 Main St, Springfield, IL",adam.reyes@customer.com,555-930-8392
51,Diane,Kane,"123 Main St, Springfield, IL",diane.kane@customer.com,555-092-6976
52,Jennifer,King,"123 Main St, Springfield, IL",jennifer.king@customer.com,555-202-2321
53,Courtney,Davis,"123 Main St, Springfield, IL",courtney.davis@customer.com,555-886-3894
54,Jeffery,Fernandez,"123 Main St, Springfield, IL",jeffery.fernandez@customer.com,555-662-5380
